Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,City,Latitude,Longitude
1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,Bangalore,12.9716,77.5946
2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,Bangalore,12.9716,77.5946
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,Bangalore,12.9716,77.5946
4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,Delhi,28.6139,77.209
5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,Kolkata,22.5726,88.3639
6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,Delhi,28.6139,77.209
7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,Mumbai,19.076,72.8777
8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,Mumbai,19.076,72.8777
9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,Mumbai,19.076,72.8777
10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,Hyderabad,17.385,78.4867
11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,Delhi,28.6139,77.209
12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,Bangalore,12.9716,77.5946
13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,Kolkata,22.5726,88.3639
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,Bangalore,12.9716,77.5946
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,Kolkata,22.5726,88.3639
16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,Delhi,28.6139,77.209
17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,Bangalore,12.9716,77.5946
18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,Mumbai,19.076,72.8777
19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,Delhi,28.6139,77.209
20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,Delhi,28.6139,77.209
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,Delhi,28.6139,77.209
22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,Kolkata,22.5726,88.3639
23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,Delhi,28.6139,77.209
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,Delhi,28.6139,77.209
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,Hyderabad,17.385,78.4867
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,Mumbai,19.076,72.8777
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,Hyderabad,17.385,78.4867
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,Hyderabad,17.385,78.4867
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,Kolkata,22.5726,88.3639
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,Mumbai,19.076,72.8777
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,Delhi,28.6139,77.209
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,Delhi,28.6139,77.209
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,Mumbai,19.076,72.8777
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,Hyderabad,17.385,78.4867
35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,Kolkata,22.5726,88.3639
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,Bangalore,12.9716,77.5946
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,Kolkata,22.5726,88.3639
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,Hyderabad,17.385,78.4867
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,Hyderabad,17.385,78.4867
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,Mumbai,19.076,72.8777
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,Mumbai,19.076,72.8777
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,Bangalore,12.9716,77.5946
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,Hyderabad,17.385,78.4867
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,Delhi,28.6139,77.209
45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,Bangalore,12.9716,77.5946
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,Kolkata,22.5726,88.3639
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,Delhi,28.6139,77.209
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,Hyderabad,17.385,78.4867
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,Mumbai,19.076,72.8777
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,Bangalore,12.9716,77.5946
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,Bangalore,12.9716,77.5946
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,Bangalore,12.9716,77.5946
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,Bangalore,12.9716,77.5946
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,Delhi,28.6139,77.209
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,Bangalore,12.9716,77.5946
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,Hyderabad,17.385,78.4867
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,Kolkata,22.5726,88.3639
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,Hyderabad,17.385,78.4867
59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,Mumbai,19.076,72.8777
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,Kolkata,22.5726,88.3639
